agency_id,route_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color,route_sort_order,min_headway_minutes,eligibility_restricted,continuous_pickup,continuous_drop_off,tts_route_short_name,tts_route_long_name
238,4772,800S,Southpoint-Chapel Hill,Patterns from the Route 800 that begin or end at Southpoint Mall.,3,http://www.gotriangle.org/maps-and-schedules#4772,56b92e,ffffff,24,,0,1,1,,
238,1574,805,Chapel Hill-Woodcroft-Regional Transit Center,,3,http://www.gotriangle.org/maps-and-schedules,97c838,000000,25,,0,1,1,,
238,1754,CRX,Chapel Hill-Raleigh Express,,3,http://www.gotriangle.org/maps-and-schedules,d2376d,ffffff,27,,0,1,1,,
238,1755,DRX,Durham-Raleigh Express,,3,http://www.gotriangle.org/maps-and-schedules,e27daa,000000,29,,0,1,1,,
238,1810,FRX,Fuquay-Varina - Raleigh Express (operated by GoRaleigh),,3,http://www.gotriangle.org/maps-and-schedules,63a541,ffffff,32,,0,1,1,,
238,13513,NRX,North Raleigh Express,"New express route to North Raleigh, 04 August 2019.",3,http://www.gotriangle.org/maps-and-schedules,615de2,ffffff,33,,0,1,1,,
238,1758,ODX,Orange-Durham Express,,3,http://www.gotriangle.org/maps-and-schedules,d066f4,ffffff,36,,0,1,1,,
238,1760,WRX,Wake Forest-Raleigh Express (operated by GoRaleigh),,3,http://www.gotriangle.org/maps-and-schedules,751713,ffffff,37,120,0,1,1,,
238,1761,ZWX,Zebulon-Wendell-Raleigh Express (operated by GoRaleigh),,3,http://www.gotriangle.org/maps-and-schedules,34784f,ffffff,39,,0,1,1,,
238,1561,300,Cary-Raleigh,,3,http://www.gotriangle.org/maps-and-schedules#1561,9c67aa,ffffff,4,60,0,1,1,,
241,4508,3B,Holloway St – The Village – Southern HS,,3,https://godurhamtransit.org/maps-schedules/godurham/3b,077730,ffffff,4,60,0,1,1,,
238,16797,RDU,Airport Shuttle,,3,,dc2020,ffffff,43,120,0,1,1,,
241,4509,3C,Holloway St – The Village – Alston Ave,,3,https://godurhamtransit.org/maps-schedules/godurham/3c,7cd820,ffffff,5,60,0,1,1,,
238,1560,301,Cary-Raleigh,,3,http://www.gotriangle.org/maps-and-schedules#1560,deb9e2,000000,6,,0,1,1,,
241,1781,4,N. Roxboro Rd – Duke Regional – North Duke Crossing,,3,https://godurhamtransit.org/maps-schedules/godurham/4,8743bf,ffffff,6,60,0,1,1,,
241,1782,5,Fayetteville St – NCCU – Southpoint,,3,https://godurhamtransit.org/maps-schedules/godurham/5,862633,ffffff,7,90,0,1,1,,
238,1563,305,Holly Springs - Apex - Raleigh,,3,http://www.gotriangle.org/maps-and-schedules,bb86bc,ffffff,8,,0,1,1,,
241,1783,5K,Fayetteville St – NCCU – MLK Pkwy,,3,https://godurhamtransit.org/maps-schedules/godurham/5k,c33929,ffffff,8,60,0,1,1,,
241,1784,6,Chapel Hill St – Duke/VA – Crest St,,3,https://godurhamtransit.org/maps-schedules/godurham/6,ed5328,ffffff,9,60,0,1,1,,
